SBS0_Load,SBS0_SINR,SBS0_PRB,SBS0_Power,SBS1_Load,SBS1_SINR,SBS1_PRB,SBS1_Power,SBS2_Load,SBS2_SINR,SBS2_PRB,SBS2_Power,SBS3_Load,SBS3_SINR,SBS3_PRB,SBS3_Power,SBS4_Load,SBS4_SINR,SBS4_PRB,SBS4_Power,SBS5_Load,SBS5_SINR,SBS5_PRB,SBS5_Power,Throughput,Delay,SINR,EnergyEfficiency,TotalPower,PacketLoss,BackhaulUtilization,SleepRatio,ActiveSBS,Reward
13.9979,14.0685,29,27,56.1671,-0.47139,20,23,42.6329,6.42167,26,25,43.0028,12.4875,32,28,57.0657,12.7776,52,28,11.1352,22.8384,47,30,42.8285,0.002,11.3537,1.19703,35.7789,1.5,42.8285,0.166667,5,63.6619
13.9979,14.0685,29,29,56.1671,-0.47139,20,23,42.6329,6.42167,26,25,43.0028,12.4875,32,28,57.0657,12.7776,52,28,11.1352,22.8384,36,30,42.0286,0.002,11.3537,1.11861,37.572,1.5,7.96314,0,6,62.7371
17.3091,4.02884,15,22,14.1629,17.6771,20,30,50.6297,1.44172,18,22,51.562,14.5163,20,25,12.6449,14.491,35,31,26.0635,13.8856,25,25,27.1884,0.005,11.0068,0.730708,37.2084,0.5,5.32215,0,6,41.467
25.8641,6.883,24,26,33.3621,8.02334,20,26,22.218,12.8296,29,25,19.8764,21.977,26,29,43.0094,17.0444,36,27,39.886,15.8273,34,30,38.6956,0.006,13.7641,1.07763,35.908,2.5,32.1858,0.166667,5,52.7963
31.1655,18.8689,30,29,46.1974,16.2149,20,28,59.451,16.4182,32,30,42.993,9.28658,24,23,37.8369,8.51128,37,26,50.9353,19.4008,34,27,33.8238,0.009,14.7834,0.938922,36.0241,0.5,25.5558,0.166667,5,52.5535
31.1655,18.8689,30,30,46.1974,16.2149,30,28,59.451,16.4182,32,24,42.993,9.28658,20,23,37.8369,8.51128,37,26,50.9353,19.4008,34,29,33.8238,0.009,14.7834,0.945483,35.7741,0.5,25.5558,0.166667,5,52.626
16.3484,12.7647,23,29,35.7961,14.5161,20,30,34.0015,15.5705,29,28,54.5054,19.4855,25,27,38.3673,15.4141,43,28,57.2323,11.7876,46,28,26.4011,0.009,14.9231,0.691339,38.1884,0.5,9.91033,0,6,39.735
44.8906,8.96979,29,22,39.3692,6.47566,20,24,44.2199,8.4315,28,26,37.25,11.9264,30,22,29.5287,20.6393,37,29,21.4185,15.1915,44,27,40.931,0.008,11.939,1.12876,36.2618,1.5,4.94955,0,6,61.3371
55.8329,17.074,33,25,29.052,12.2087,20,25,50.2533,16.986,32,31,11.661,9.80594,20,25,47.3137,6.05606,39,23,55.7548,9.3489,26,22,35.7299,0.009,11.9133,0.977145,36.5656,0.5,4.81347,0,6,56.2974
55.8329,17.074,33,30,29.052,12.2087,20,25,50.2533,16.986,32,30,11.661,9.80594,20,25,47.3137,6.05606,39,23,55.7548,9.3489,44,22,35.7299,0.009,11.9133,0.965923,36.9905,0.5,7.79702,0,6,56.0841
48.7583,18.2292,33,25,10.2774,16.8154,20,24,54.0079,12.7398,29,23,52.7839,14.1711,20,28,33.5249,5.63632,35,22,36.9096,20.1554,48,24,38.9619,0.006,14.6245,1.08809,35.8076,0.5,12.4114,0,6,61.8807
